time,dev1,dev2,connection
28723.0,28,38,up
28751.0,6,36,up
28752.0,1,32,up
28753.0,28,39,up
28776.0,1,23,up
28776.0,23,32,up
28778.0,9,25,up
28781.0,17,38,up
28786.0,1,32,up
28811.0,17,28,up
28811.0,17,39,up
28826.0,6,36,up
28848.0,8,45,up
28868.0,9,25,up
28871.0,17,39,up
28896.0,1,23,up
28902.0,9,25,up
28908.0,8,45,up
28931.0,17,38,up
28936.0,23,32,up
28992.0,1,23,up
28992.0,1,32,up
28994.0,17,28,up
28998.0,8,45,up
29024.0,2,15,up
29065.0,36,44,up
29082.0,1,23,up
29124.0,36,44,up
29136.0,23,32,up
29141.0,17,38,up
29142.0,1,23,up
29168.0,9,25,up
29178.0,8,45,up
29204.0,28,38,up
29230.0,17,28,up
29230.0,17,38,up
29232.0,6,36,up
29256.0,1,23,up
29288.0,9,25,up
29292.0,6,36,up
29294.0,17,28,up
29322.0,6,36,up
29324.0,28,38,up
29329.0,8,16,up
29352.0,1,23,up
29364.0,6,36,up
29406.0,23,32,up
29408.0,9,25,up
29418.0,8,16,up
29440.0,17,28,up
29442.0,6,36,up
29449.0,8,16,up
29467.0,6,47,up
29471.0,17,28,up
29471.0,7,13,up
29472.0,6,36,up
29472.0,9,25,up
29497.0,36,47,up
29497.0,36,50,up
29497.0,47,50,up
29497.0,6,50,up
29506.0,19,42,up
29507.0,1,32,up
29526.0,22,51,up
29557.0,47,50,up
29562.0,6,36,up
29565.0,28,38,up
29566.0,19,42,up
29586.0,1,23,up
29591.0,17,38,up
29599.0,8,16,up
29603.0,36,50,up
29620.0,17,39,up
29622.0,1,23,up
29647.0,36,47,up
29651.0,2,15,up
29653.0,6,44,up
29676.0,1,23,up
29680.0,17,39,up
29684.0,28,39,up
29689.0,8,16,up
29707.0,47,50,up
29707.0,6,50,up
29711.0,17,28,up
29712.0,6,36,up
29712.0,9,25,up
29714.0,28,38,up
29719.0,16,45,up
29742.0,4,10,up
29742.0,6,36,up
29767.0,36,47,up
29767.0,47,50,up
29767.0,6,47,up
29774.0,28,39,up
29777.0,1,32,up
29784.0,36,44,up
29805.0,17,28,up
29827.0,6,47,up
29828.0,9,25,up
29836.0,19,22,up
29837.0,23,32,up
29843.0,36,44,up
29861.0,2,15,up
29866.0,19,22,up
29869.0,8,16,up
29916.0,6,50,up
29917.0,47,50,up
29917.0,6,47,up
29929.0,8,16,up
29951.0,17,38,up
29952.0,9,25,up
29953.0,6,36,up
29953.0,6,50,up
29954.0,17,28,up
29977.0,1,23,up
29977.0,23,32,up
30012.0,17,38,up
30012.0,9,25,up
30014.0,2,15,up
30015.0,17,28,up
30023.0,36,44,up
30037.0,1,23,up
30037.0,47,50,up
30067.0,47,50,up
30068.0,6,50,up
30072.0,1,32,up
30102.0,1,32,up
30102.0,9,25,up
30103.0,6,36,up
30110.0,8,16,up
30135.0,28,38,up
30144.0,36,44,up
30158.0,9,25,up
30192.0,1,32,up
30218.0,6,50,up
30222.0,9,25,up
30224.0,28,38,up
30230.0,8,16,up
30253.0,1,23,up
30253.0,19,22,up
30254.0,17,28,up
30283.0,17,38,up
30283.0,5,26,up
30294.0,6,36,up
30313.0,6,50,up
30313.0,9,25,up
30314.0,28,38,up
30343.0,6,44,up
30353.0,6,36,up
30372.0,17,28,up
30372.0,17,38,up
30372.0,9,25,up
30391.0,47,50,up
30402.0,17,28,up
30421.0,6,47,up
30427.0,1,23,up
30431.0,2,15,up
30433.0,6,50,up
30434.0,5,26,up
30474.0,36,44,up
30493.0,6,44,up
30495.0,28,38,up
30511.0,47,50,up
30522.0,1,32,up
30553.0,2,15,up
30553.0,6,47,up
30582.0,9,25,up
